"917 S LAFLIN ST, CHICAGO, IL",-87.6638339999999,41.8700229,"Two to Six Apartments, Over 62 Years",0
"835 S LAFLIN ST, CHICAGO, IL",-87.6638257,41.8706340999999,"Two to Six Apartments, Over 62 Years",0
"905 S LAFLIN ST, CHICAGO, IL",-87.6638095999999,41.8703632,"Two to Six Apartments, Over 62 Years",0
"901 S LAFLIN ST, CHICAGO, IL",-87.6638089,41.8704332,"Two to Six Apartments, Over 62 Years",0
"907 S LAFLIN ST, CHICAGO, IL",-87.6638047,41.8702893,"Two to Six Apartments, Over 62 Years",0
"1452 W LEXINGTON ST, CHICAGO, IL",-87.6638047,41.8727196999999,"Two to Six Apartments, Over 62 Years",0
"909 S LAFLIN ST, CHICAGO, IL",-87.6638023,41.8702323999999,"Two to Six Apartments, Over 62 Years",0
"911 S LAFLIN ST, CHICAGO, IL",-87.6638006,41.8701535,"Two to Six Apartments, Over 62 Years",0
"913 S LAFLIN ST, CHICAGO, IL",-87.6637991,41.8700955999999,"Two to Six Apartments, Over 62 Years",0
"1455 W TAYLOR ST, CHICAGO, IL",-87.6637838,41.8691122999999,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000",0
"1453 W FLOURNOY ST, CHICAGO, IL",-87.6637783,41.8730845999999,"Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance",0
"1452 W TAYLOR ST, CHICAGO, IL",-87.6637472,41.8694892999999,"Two to Six Apartments, Over 62 Years",0
"1450 W LEXINGTON ST, CHICAGO, IL",-87.663724,41.8727066,"Two to Six Apartments, Over 62 Years",0
"1448 W FLOURNOY ST, CHICAGO, IL",-87.6636938999999,41.8734917999999,"Two to Six Apartments, Over 62 Years",0
"1453 W TAYLOR ST, CHICAGO, IL",-87.6636732,41.8691158,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000",0
"1450 W TAYLOR ST, CHICAGO, IL",-87.6636589,41.8695122999999,"Two to Six Apartments, Over 62 Years",0
"1448 W POLK ST, CHICAGO, IL",-87.6636536,41.8718367999999,"Two to Six Apartments, Over 62 Years",0
"1448 W LEXINGTON ST, CHICAGO, IL",-87.6636507,41.8727126,"Two to Six Apartments, Over 62 Years",0
"1446 W FLOURNOY ST, CHICAGO, IL",-87.6636067999999,41.8734978999999,"Two to Six Apartments, Over 62 Years",0
"1447 W FLOURNOY ST, CHICAGO, IL",-87.6635849,41.8730874999999,"Two to Six Apartments, Over 62 Years",0
